puuid,gameName,tagLine,platform,region,sha,twitch_url,opgg_url
"YXwu-NFtuUGaVRyOLe5kbi-ByPf-eMDTDKQeyYTk7unlndEJOOL7a1YcVjE3gxgN4iH5oXCdALQrxQ","Valese","EUW","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/katsaurus","https://op.gg/lol/summoners/euw/Valese-EUW"
"uPxn-b5M4Kv9DmyXoQV6W5yfleNG2AaFfY1dBO3NmPYGixfnwfHzmTcPfJANxqg9LV9gSLLcubVz3A","Taddels","TDDL","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/taddelstv","https://op.gg/lol/summoners/euw/Taddels-TDDL"
"ta98-DJeJKmywDVwOTI6pA0_ivRUCMHodTKFXDBAd9w4j6sffiA1p6qDhY2xGyLHm1PB0vHT93nTQg","Mrs Chim Chim","MCC","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/MrsChimChim","https://op.gg/lol/summoners/na/Mrs%20Chim%20Chim-MCC"
"ndAGSGFhO38db6ZXoDSsAHBO2DmSCcKWnLdqZVIawkU5jKyDgnrBHMpDnBQB-kiGOQRQkhMRhqoJSQ","PearlPapaya","FLWER","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/jadepeach","https://op.gg/lol/summoners/na/PearlPapaya-FLWER"
"gRYBIybq1iBgtKvHHzFV00RhFZGJYKiIiAfmGGC0x_H_DxsOuTKWYiMoXrE6oHw_kEjMhgsoDLIYdg","KatieMka","EUW","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/katiemka","https://op.gg/lol/summoners/euw/KatieMka-EUW"
"z3dldMuQ-eDvwqZoBGLWSfCjAGsnSBOrQSgEZ4C4IX4crJelXtW9Ro3aWCRdF3kPTOnU3vb05YyMMA","Obliviosa","EUW","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/obliviosaofficial","https://op.gg/lol/summoners/euw/Obliviosa-EUW"
"OV-rUBu3sz6bI9_uNY4rg9L_XoSgsamH4R5tAKO4MrxmtOpCqEr6dg_ZJBIVb3qQyfMgHu6KEGxjUw","Xenatinnia","EUW","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/riasya","https://op.gg/lol/summoners/euw/Xenatinnia-EUW"
"XFmcSgFw58JoOOpVXufSvl027GLjrGtPYxf0TOUxQdXedVrqwV0JXEtS3XdF3SNr8zbySonsngFFWA","AM2PM","MIMI","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/ariyamaree","https://op.gg/lol/summoners/na/AM2PM-MIMI"
"-xqsddXB3_qOPSGNo5sFKWgYivm_7VXrTlsMjELH38ONGNLkwkyk8NpMBI6VajRvVQQw9Y3IZ4jCKQ","Daelynn5","4226","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/kaci96","https://op.gg/lol/summoners/na/Daelynn5-4226"
"0To0Ncj68xerK95zgwvSmlN5mrKMjrxtn-V3UGe3vt1HvGCwaNZ-iM75uwpTm1tT_OkJ_42SWlaN3g","xjessachu","ttv","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/xjessachu","https://op.gg/lol/summoners/na/xjessachu-ttv"
